title,NER
Bellpepper Peanut Curry,"[""vegetable oil"", ""cumin"", ""fennel seed"", ""channa dal"", ""fenugreek seeds"", ""cinnamon"", ""anise"", ""coconut"", ""peanuts"", ""salt"", ""green chilies"", ""cilantro"", ""ginger"", ""garlic"", ""turmeric"", ""hing"", ""tomatoes"", ""red onion"", ""red capsicum""]"
"Simple, Sweet And Mild Curry Blend","[""ground coriander"", ""turmeric"", ""cumin"", ""cinnamon"", ""ginger"", ""fennel"", ""clove"", ""ground mustard"", ""black pepper"", ""cayenne pepper""]"
My Husband'S Favorite Chicken Curry,"[""chicken breasts"", ""turmeric"", ""cayenne pepper"", ""salt"", ""black pepper"", ""rice bran oil"", ""rice bran oil"", ""mustard seeds"", ""onion"", ""garlic"", ""ginger paste"", ""tomatoes"", ""fresh cilantro"", ""warm water"", ""garam masala"", ""cayenne pepper"", ""lemon juice"", ""salt"", ""margarine""]"
Red Curry Pork With Peppers,"[""vegetable oil"", ""onion"", ""garlic"", ""pork tenderloin"", ""red bell pepper"", ""mushrooms"", ""red curry"", ""coconut cream"", ""vegetable bouillon granules"", ""soy sauce"", ""tomatoes"", ""handful fresh cilantro""]"
Mango And Tomato Curry,"[""ghee"", ""mustard seeds"", ""curry"", ""tomato"", ""turmeric"", ""cumin"", ""cayenne pepper"", ""salt"", ""mangoes"", ""green onion""]"
Curry Chicken From Scratch,"[""flour"", ""butter"", ""chicken"", ""olive oil"", ""curry powder"", ""fresh tomatoes"", ""green pepper"", ""garlic"", ""onion"", ""salt"", ""pepper"", ""almonds""]"
"Chicken, Sweet Potato & Coconut Curry","[""sunflower oil"", ""curry paste"", ""chicken breasts"", ""sweet potatoes"", ""red lentils"", ""chicken broth"", ""coconut milk"", ""frozen peas""]"
Garam Masala Tomato Chicken Curry,"[""sesame oil"", ""white onions"", ""carrots"", ""gingerroot"", ""garlic"", ""salt"", ""black pepper"", ""chicken thighs"", ""garam masala"", ""cayenne"", ""tomatoes"", ""garbanzo beans"", ""cauliflower"", ""coconut milk""]"
Easy Yummy King Prawn Thai Green Curry,"[""headless king prawns"", ""baby button mushrooms"", ""coconut milk"", ""chicken"", ""green curry"", ""gingerroot"", ""chili pepper"", ""fish sauce"", ""oil"", ""fresh coriander""]"
Shrimp In Yellow Curry (Gang Lueng Goong),"[""shrimp"", ""oil"", ""onion"", ""ginger"", ""garlic"", ""yellow curry"", ""light coconut milk"", ""potatoes"", ""carrots"", ""bell pepper"", ""chili peppers"", ""curry powder"", ""fish sauce"", ""sugar"", ""onion""]"
Brians Favourite Prawn Curry,"[""onion"", ""olive oil"", ""cinnamon"", ""green cardamoms"", ""cloves"", ""bay leaf"", ""ginger paste"", ""garlic"", ""chili powder"", ""ground cumin"", ""ground coriander"", ""salt"", ""green pepper"", ""tomatoes"", ""prawns"", ""green chilies"", ""coriander""]"
Rock Cornish Game Hens With Curry,"[""cornish hens"", ""garlic"", ""thyme"", ""curry powder"", ""black pepper"", ""butter"", ""lemon juice"", ""paprika""]"
Green Banana Curry,"[""oil"", ""salt"", ""turmeric"", ""red pepper"", ""green bananas"", ""lemon juice"", ""coconut milk"", ""onion"", ""garlic"", ""tomatoes""]"
Cauliflower & Red Lentil Curry,"[""red lentil"", ""cumin"", ""onion"", ""curry powder"", ""salt"", ""turmeric"", ""tomatoes"", ""cauliflower florets"", ""chili pepper"", ""vegetable oil"", ""cumin"", ""garlic"", ""fresh ginger"", ""cayenne pepper"", ""lemon juice"", ""fresh cilantro"", ""sugar""]"
Butterflied Grilled Chicken With Curry And Cumin,"[""chicken"", ""curry powder"", ""cumin"", ""salt""]"
Dopiaza (Pork Curry With Onions),"[""onions"", ""ghee"", ""lime juice"", ""pork"", ""ground coriander"", ""turmeric"", ""fenugreek seeds"", ""salt"", ""chili powder""]"
Lamb And Butter Bean Curry,"[""lamb"", ""butter beans"", ""water"", ""salt"", ""ginger"", ""garlic"", ""oil"", ""onion"", ""red chilies"", ""cinnamon sticks"", ""ground coriander"", ""ground cumin"", ""turmeric"", ""chili powder"", ""tomato puree"", ""black cardamom pods"", ""cloves"", ""water"", ""lemon"", ""coriander""]"
"Coriander, Curry & Yogurt-Crusted Tofu","[""plain yogurt"", ""fresh garlic"", ""ground cumin"", ""coriander"", ""curry powder"", ""salt"", ""pepper"", ""olive oil"", ""mint""]"
Fiery Avocado Red Curry And Shrimp,"[""vegetable oil"", ""red curry"", ""red bell pepper"", ""fresh green beans"", ""red onion"", ""unsweetened coconut milk"", ""fish sauce"", ""salt"", ""sugar"", ""avocados"", ""shrimp"", ""sweet basil"", ""cooked jasmine rice""]"
Delightful Coconut Beef Curry With Chinese Snow Peas,"[""flour"", ""curry powder"", ""chili powder"", ""red pepper"", ""red cayenne pepper"", ""vegetable oil"", ""chucks"", ""russet potatoes"", ""green bell pepper"", ""coconut milk"", ""Onion Soup Mix"", ""baby carrots"", ""salt"", ""Sides"", ""vegetable oil"", ""snow peas"", ""grain rice""]"
Easy Chicken Curry,"[""onion"", ""garlic"", ""ground chicken"", ""curry powder"", ""tomatoes"", ""sour cream"", ""rice""]"
Curry Chicken Udon,"[""dashi soup"", ""chicken thighs"", ""onion"", ""carrot"", ""salt"", ""green onion"", ""curry roux"", ""soy sauce"", ""cornstarch"", ""water"", ""bean sprouts pancake"", ""eggs"", ""bean sprouts"", ""salt""]"
Lamb With Cashew-Nut Curry (Korma),"[""unsalted cashews"", ""chilies"", ""cinnamon"", ""ginger"", ""cardamom seed"", ""cloves"", ""garlic"", ""poppy seeds"", ""coriander seed"", ""cumin"", ""saffron thread"", ""butter"", ""onion"", ""salt"", ""plain yogurt"", ""lamb"", ""coriander"", ""lemon juice"", ""boiling water"", ""water""]"
Vegetable Lentil Curry,"[""onion"", ""curry powder"", ""sweet potatoes"", ""cauliflower"", ""brown lentils"", ""tomatoes""]"
Pineapple Or Apple Coconut Curry,"[""pineapple"", ""oil"", ""onion"", ""garlic"", ""cinnamon"", ""cloves"", ""cardamom"", ""ground coriander"", ""ground cumin"", ""turmeric"", ""chili powder"", ""salt"", ""coconut milk"", ""brown sugar""]"
Devil'S Pork Curry,"[""pork"", ""white vinegar"", ""soy sauce"", ""vegetable oil"", ""red onions"", ""fresh ginger"", ""garlic"", ""curry"", ""brown sugar"", ""cinnamon"", ""fenugreek seeds"", ""red chilies"", ""turmeric powder"", ""fresh lemongrass"", ""tamarind paste"", ""fish sauce"", ""beef stock"", ""nuts""]"
Ginger Curry Pork And Rice,"[""center"", ""black pepper"", ""salt"", ""vegetable oil"", ""lime rind"", ""lime juice"", ""ginger"", ""onion"", ""red curry"", ""chicken broth"", ""apricots"", ""honey"", ""garlic"", ""basmati rice"", ""green onions""]"
Quick Fruit Curry (South African),"[""chicken"", ""oil"", ""butter"", ""onion"", ""curry powder"", ""fresh apple"", ""dried apricot"", ""raisins"", ""salt"", ""vinegar"", ""peanuts"", ""water""]"
Chicken And Cashew Nut Curry,"[""peanut oil"", ""onions"", ""salt"", ""fresh ginger"", ""garlic"", ""green chilies"", ""turmeric"", ""cumin"", ""ground coriander"", ""unsweetened coconut milk"", ""boiling water"", ""chicken bouillon cube"", ""cardamom pods"", ""chicken thighs"", ""green beans"", ""cashew nuts"", ""sour cream"", ""cilantro""]"
Sweet & Spicy Malaysian Chicken Curry,"[""olive oil"", ""onions"", ""green pepper"", ""garlic granules"", ""curry powder"", ""chili flakes"", ""tomatoes"", ""chicken"", ""chicken stock"", ""green apple"", ""raisins"", ""brown rice"", ""salt""]"
Beef Curry For Slow Cooker,"[""flour"", ""curry powder"", ""vegetable oil"", ""onions"", ""garlic"", ""fresh ginger"", ""salt"", ""vinegar"", ""cinnamon sticks"", ""lemon rind"", ""beef stock""]"
Leafy Greens Curry With Mushrooms (Vegan),"[""coconut oil"", ""cumin"", ""mustard seeds"", ""turmeric"", ""tomatoes"", ""fresh ginger"", ""salt"", ""coriander"", ""chili powder"", ""mushroom"", ""spinach"", ""garlic"", ""fenugreek leaves"", ""water""]"
Easy Mild Thai Beef Curry,"[""onion"", ""curry"", ""oil"", ""light coconut milk"", ""baby spinach leaves""]"
Easy Lamb Curry,"[""garlic"", ""ginger"", ""salt"", ""green chili"", ""yogurt"", ""onions"", ""cashew nuts"", ""ground coriander"", ""ground cumin"", ""ground garam masala"", ""meat stock"", ""coconut milk"", ""olive oil""]"
Thai Curry,"[""olive oil"", ""onion"", ""garlic"", ""red curry"", ""peppers"", ""coconut milk"", ""chicken"", ""chicken broth"", ""straw mushroom"", ""bamboo shoot"", ""fish sauce"", ""lime"", ""basil"", ""lime""]"
Coconut Curry,"[""olive oil"", ""onion"", ""garlic"", ""red pepper"", ""salt"", ""curry powder"", ""ginger powder"", ""sriracha sauce"", ""black pepper"", ""water"", ""frozen peas"", ""golden raisin"", ""coconut milk"", ""tomatoes""]"
Red Curry Scalloped Sweet Potatoes,"[""peanut oil"", ""garlic"", ""red curry"", ""onions"", ""coconut milk"", ""sugar"", ""salt"", ""allspice"", ""fresh Thai basil"", ""sweet potatoes""]"
Red Lentil Curry,"[""red lentil"", ""onion"", ""butter"", ""mustard"", ""curry"", ""chili powder"", ""salt"", ""milk"", ""water""]"
Fantastic Chicken Curry,"[""flour"", ""salt"", ""black pepper"", ""chicken breasts"", ""oil"", ""onion"", ""green bell pepper"", ""garlic"", ""curry powder"", ""potatoes"", ""chicken broth"", ""mango"", ""fresh cilantro""]"
Okra Curry (Bindi Bhajee),"[""okra"", ""mustard oil"", ""onion"", ""garlic"", ""fresh ginger"", ""tomatoes"", ""green pepper"", ""green chilies"", ""mustard seeds"", ""coriander seed"", ""fenugreek seeds"", ""turmeric"", ""cumin seeds"", ""paprika"", ""asafoetida powder""]"
Chicken Katsu Curry,"[""red radish"", ""rice vinegar"", ""black pepper"", ""Curry"", ""butter"", ""potatoes"", ""carrot"", ""onion"", ""garlic"", ""water"", ""green apple"", ""Chicken"", ""curry"", ""vegetable oil"", ""chicken cutlets"", ""all-purpose"", ""eggs"", ""breadcrumbs"", ""scallions"", ""white rice"", ""cabbage""]"
"Curry With Aubergine, Mushrooms, Chickpeas And Spinach","[""Sauce"", ""coriander seeds"", ""cumin"", ""cardamom pods"", ""fennel seed"", ""mustard seeds"", ""canola oil"", ""cinnamon"", ""onion"", ""garlic"", ""gingerroot"", ""bay leaves"", ""ground turmeric"", ""paprika"", ""cayenne pepper"", ""tomatoes"", ""water"", ""salt"", ""lemon"", ""lemon"", ""Vegetables"", ""canola oil"", ""red onion"", ""garlic"", ""aubergine"", ""chickpeas"", ""g spinach"", ""pepper""]"
Chicken Curry With Mango Chutney,"[""vegetable oil"", ""chicken breasts"", ""onion"", ""garlic"", ""gingerroot"", ""curry"", ""chicken stock"", ""tomatoes"", ""salt"", ""pepper"", ""mincemeat"", ""heavy cream"", ""mango"", ""fresh cilantro""]"
Mom'S Chicken Curry,"[""butter"", ""onion"", ""curry powder"", ""flour"", ""salt"", ""sugar"", ""ginger"", ""chicken broth"", ""milk"", ""chicken"", ""lemon juice""]"
Tempeh Sweet Potato Coconut Curry,"[""canola oil"", ""onions"", ""salt"", ""tamarind pulp"", ""fresh ginger"", ""fresh garlic"", ""ground coriander"", ""ground turmeric"", ""red pepper"", ""cinnamon"", ""sweet potatoes"", ""water"", ""coconut milk"", ""lime juice"", ""soy sauce""]"
Beef And Orange Curry,"[""vegetable oil"", ""shallots"", ""garlic"", ""lean round steak"", ""curry paste"", ""fresh beef stock"", ""oranges"", ""cornstarch"", ""salt""]"
Vegetarian Peanut Curry (African Inspired),"[""olive oil"", ""white onion"", ""carrots"", ""garlic"", ""ginger"", ""lime"", ""curry powder"", ""ground coriander"", ""red pepper"", ""vegetable broth"", ""tomato sauce"", ""tomatoes"", ""peanut butter"", ""coconut milk"", ""garbanzo beans"", ""dried apricot"", ""golden raisin"", ""salt"", ""brown rice"", ""nonfat yogurt"", ""cilantro""]"
Instant Pot Cumin Lamb Stew With Curry And Chilis,"[""lamb shoulder"", ""kosher salt"", ""grapeseed oil"", ""onion"", ""ginger"", ""garlic"", ""arbol chiles"", ""ground cumin"", ""garam masala"", ""cornstarch"", ""sugar"", ""water"", ""rice"", ""cilantro""]"
Curry Turkey Burgers By Rachael Ray,"[""ground turkey"", ""scallions"", ""cilantro"", ""ginger"", ""garlic"", ""red bell pepper"", ""salt"", ""curry"", ""extra virgin olive oil"", ""crusty rolls"", ""toppings"", ""tomatoes"", ""mango"", ""mayonnaise"", ""red onion""]"
Coconut Chicken Curry - Crock Pot,"[""vegetable oil"", ""chicken"", ""potatoes"", ""onion"", ""coconut milk"", ""salt"", ""black pepper"", ""curry powder"", ""hot sauce"", ""chicken broth"", ""frozen peas"", ""coconut""]"
Easy Yellow Thai Curry,"[""chicken breast"", ""vegetable oil"", ""onion"", ""potatoes"", ""yellow curry"", ""coconut milk""]"
Vietnamese Seafood Curry,"[""vegetable oil"", ""garlic"", ""green onions"", ""carrot"", ""stalks lemongrass"", ""red chilies"", ""curry"", ""coconut milk"", ""fish sauce"", ""firm-fleshed"", ""green king prawns"", ""sugar snap peas"", ""basil"", ""jasmine rice""]"
Tibetan Potato Curry,"[""potatoes"", ""fenugreek seeds"", ""oil"", ""onion"", ""ginger"", ""garlic"", ""coriander"", ""cumin"", ""curry powder"", ""turmeric"", ""tomatoes"", ""hot pepper"", ""water""]"
Malay Pineapple Curry (Pajri Nenas),"[""pineapple"", ""chicken curry"", ""water"", ""onions"", ""garlic"", ""ginger"", ""curry"", ""shrimp"", ""cinnamon"", ""anise"", ""cloves"", ""coconut milk"", ""coconut paste"", ""water"", ""cooking oil"", ""salt"", ""sugar""]"
Chicken Curry,"[""chicken breasts"", ""butter"", ""onions"", ""garlic"", ""turmeric"", ""cumin"", ""ground ginger"", ""chili powder"", ""salt"", ""water"", ""heavy cream"", ""white rice""]"
Chinese Chicken Curry,"[""vegetable oil"", ""garlic"", ""onions"", ""chicken breasts"", ""curry powder"", ""sugar"", ""salt"", ""soy sauce"", ""water"", ""potatoes"", ""cornstarch"", ""water""]"
Mama'S Chicken Curry,"[""chicken"", ""ginger-garlic"", ""cardamom"", ""curry"", ""onion"", ""green chili peppers"", ""tomatoes"", ""lemon"", ""salt"", ""turmeric powder"", ""chili powder"", ""garam masala"", ""curry powder"", ""fenugreek seeds"", ""oil""]"
Spicy Beef Curry,"[""chuck roast"", ""olive oil"", ""garlic"", ""ginger"", ""red onion"", ""chili powder"", ""curry powder"", ""turmeric powder"", ""ground black pepper"", ""salt"", ""tamarind paste"", ""coconut milk"", ""water""]"
Indian Chickpea Curry,"[""grapeseed oil"", ""yellow onions"", ""mustard seeds"", ""fenugreek leaves"", ""brown sugar"", ""fresh ginger"", ""garlic"", ""ground cayenne pepper"", ""ground cumin"", ""ground coriander"", ""turmeric"", ""tomato"", ""garam masala"", ""vegetable stock"", ""chickpeas"", ""fresh coriander"", ""salt""]"
Pineapple Curry With Cashew Nuts,"[""pineapple"", ""onion"", ""coconut milk"", ""stalk lemongrass"", ""curry"", ""mustard powder"", ""red chilies"", ""turmeric powder"", ""cashews"", ""olive oil""]"
Potatoes With Fresh Curry Leaves (Bhaji),"[""potatoes"", ""ghee"", ""brown mustard seeds"", ""curry"", ""onions"", ""garlic"", ""green chili pepper"", ""ground cumin"", ""salt"", ""cumin"", ""cilantro""]"
Thai Red Lamb Curry,"[""boneless lean lamb"", ""onion"", ""garlic"", ""ginger"", ""stalk lemongrass"", ""red curry"", ""lime leaf"", ""tomatoes"", ""red"", ""coconut cream"", ""cashew nuts"", ""cooking oil""]"
Chiang Mai Chicken Curry,"[""chicken thigh"", ""vegetable oil"", ""garlic"", ""red curry"", ""onion"", ""ginger"", ""peanuts"", ""tamarind puree"", ""fish sauce"", ""palm sugar""]"
Spinach And Chickpea Curry,"[""vegetable oil"", ""onions"", ""ground coriander"", ""ground cumin"", ""dried chili pepper"", ""turmeric"", ""tomatoes"", ""tinned chickpeas"", ""spinach"", ""lemon""]"
Goan Chicken Curry,"[""chicken breasts"", ""vegetable oil"", ""mustard seeds"", ""onion"", ""garlic"", ""coconut milk"", ""salt"", ""marinade"", ""paprika"", ""ground turmeric"", ""ground coriander"", ""ground cumin"", ""cayenne pepper"", ""lemon juice"", ""salt"", ""water""]"
Simple Dry Potato Curry With Fennel,"[""potatoes"", ""oil"", ""black mustard seeds"", ""cumin"", ""fennel seed"", ""turmeric"", ""cayenne powder"", ""salt""]"
Spicy Yam Curry,"[""mustard oil"", ""cumin"", ""onion"", ""garlic"", ""cayenne pepper"", ""suran yams"", ""tomatoes"", ""salt"", ""curry powder"", ""tamarind paste"", ""warm water"", ""frozen peas"", ""cilantro""]"
Mashed Thai Red Curry Sweet Potatoes,"[""sweet potatoes"", ""coconut milk"", ""red curry"", ""maple syrup"", ""unsalted butter"", ""coarse salt""]"
Hot Hot Crab Curry,"[""onion"", ""cayenne pepper"", ""turmeric"", ""garlic"", ""ginger"", ""cumin powder"", ""coriander powder"", ""curry powder"", ""tomatoes"", ""vegetable oil"", ""crab"", ""salt""]"
Fruit And Vegetable Curry,"[""onions"", ""peanut oil"", ""garlic"", ""gingerroot"", ""ground cumin"", ""ground coriander"", ""cinnamon"", ""turmeric"", ""cayenne"", ""ground fennel"", ""ground cardamom"", ""ground cloves"", ""zucchini"", ""water"", ""green beans"", ""apples"", ""red bell pepper"", ""apricot"", ""currants"", ""apricot preserves"", ""lemon juice"", ""garam masala"", ""brown rice"", ""peanuts"", ""bananas""]"
Indonesian Rendang Beef Curry,"[""stalks lemongrass"", ""pepper"", ""garlic"", ""gingerroot"", ""coriander powder"", ""turmeric powder"", ""cumin powder"", ""cinnamon"", ""sesame oil"", ""lean beef"", ""onion"", ""green bell pepper"", ""red bell pepper"", ""carrot"", ""coconut milk"", ""lime juice"", ""sugar""]"
Leftover Lamb Curry,"[""butter"", ""lamb"", ""onion"", ""apple"", ""celery"", ""garlic"", ""curry powder"", ""thyme"", ""chicken stock"", ""tomato"", ""salt""]"
Tamarind Beef Curry (Samlaa Ko Phet),"[""boiling water"", ""filet of beef"", ""chilies"", ""fresh cilantro"", ""ground galangal"", ""ground lemongrass"", ""vegetable oil"", ""onion"", ""garlic"", ""fish sauce"", ""sugar"", ""coconut milk"", ""eggplants"", ""lime""]"
Spicy Thai Tofu Curry,"[""unsweetened coconut cream"", ""coconut water"", ""curry powder"", ""kashmiri chili powder"", ""serrano peppers"", ""litehouse freeze"", ""ginger"", ""garlic"", ""tamari"", ""baby leeks"", ""oriental yam"", ""purple sweet potato"", ""firm tofu"", ""milk"", ""bamboo shoots"", ""snow peas"", ""green bell pepper"", ""baby spinach""]"
Spicy Red Curry Chicken In Crockpot,"[""chicken broth"", ""red curry"", ""coconut milk"", ""soy sauce"", ""brown sugar"", ""chiles"", ""jalapenos"", ""ginger"", ""garlic"", ""sweet potato"", ""baby carrots"", ""chicken breasts""]"
Liver Curry,"[""oil"", ""onions"", ""lemon rind"", ""garlic"", ""fresh red chile"", ""green pepper"", ""ground coriander"", ""ground cumin"", ""fennel seed"", ""beef"", ""coconut milk""]"
Sweet Chickpea Curry,"[""low-sodium chickpeas"", ""coconut milk"", ""red onion"", ""celery"", ""broccoli"", ""sweet potatoes"", ""granny smith apple"", ""garlic"", ""fresh ginger"", ""curry"", ""mustard seeds"", ""cumin seeds"", ""ground turmeric"", ""ground allspice""]"
Chicken Curry,"[""vegetable oil"", ""butter"", ""onions"", ""curry powder"", ""chicken breasts"", ""glass brandy"", ""cream"", ""salt""]"
Spicy Indian Yellow Lentil Curry,"[""toovar dal"", ""tomatoes"", ""turmeric powder"", ""tamarind pulp"", ""green chilies"", ""onions"", ""salt"", ""oil"", ""black mustard seeds"", ""cumin"", ""coriander seed"", ""asafoetida powder"", ""curry"", ""fresh coriander""]"
Low Carb Chicken Curry,"[""curry"", ""chicken stock"", ""sour cream"", ""chicken breasts"", ""cauliflower"", ""green beans"", ""onion"", ""garlic"", ""mushrooms"", ""salt"", ""pepper""]"
Low Calorie Chicken Curry,"[""vegetable oil"", ""apples"", ""celery"", ""onion"", ""garlic"", ""curry powder"", ""ground cinnamon"", ""ground ginger"", ""white pepper"", ""salt"", ""cornstarch"", ""chicken stock"", ""chicken"", ""raisins"", ""rice""]"
Potato Roti Curry,"[""salt"", ""ground cumin"", ""ground turmeric"", ""ground ginger"", ""ground allspice"", ""red pepper"", ""canola oil"", ""onions"", ""garlic"", ""gold potatoes"", ""acorn squash"", ""red bell pepper"", ""water"", ""light coconut milk"", ""fresh cilantro""]"
Cashew And Green Peas Curry,"[""cashew nuts"", ""fresh green peas"", ""mustard seeds"", ""turmeric"", ""onion"", ""oil"", ""curry"", ""salt""]"
Kerala Shrimp Curry,"[""frozen shrimp"", ""turmeric powder"", ""red chili powder"", ""salt"", ""lime juice"", ""tamarind pulp"", ""boiling water"", ""vegetable oil"", ""red onion"", ""brown mustard seeds"", ""fenugreek seeds"", ""tomatoes"", ""garlic"", ""ginger"", ""peppers"", ""curry"", ""turmeric powder"", ""ground coriander"", ""chili powder"", ""coconut milk"", ""salt"", ""handful fresh coriander""]"
Lamb And Spinach Curry,"[""lean diced"", ""ground cumin"", ""ground coriander"", ""garlic"", ""garam masala"", ""chili powder"", ""ground turmeric"", ""white vinegar"", ""vegetable oil"", ""onion"", ""fresh ginger"", ""red chile"", ""garlic"", ""tomato paste"", ""tomatoes"", ""fresh coriander"", ""lemon"", ""salt"", ""pepper"", ""Spinach"", ""natural yoghurt"", ""mint""]"
"Chicken, Courgette And Mushroom Curry","[""chicken breasts"", ""tomatoes"", ""courgette"", ""onion"", ""mushrooms"", ""double cream"", ""paprika"", ""ground coriander"", ""ground cumin"", ""chili powder"", ""turmeric"", ""sugar"", ""salt"", ""oil""]"
Tofu Curry,"[""onions"", ""garlic"", ""tomatoes"", ""gingerroot"", ""curry powder"", ""ground cumin"", ""ground coriander"", ""ground allspice"", ""thyme"", ""peppers"", ""water""]"
South African Chicken Curry,"[""olive oil"", ""chicken thighs"", ""potatoes"", ""onion"", ""ginger paste"", ""chili paste"", ""garlic"", ""curry powder"", ""garam masala"", ""tomatoes"", ""chicken stock"", ""bay leaves"", ""curry"", ""cinnamon"", ""yogurt""]"
Thai Chicken Meatball Curry (Slow Cooker),"[""ground chicken"", ""fresh breadcrumb"", ""cilantro"", ""long red chili peppers"", ""oil"", ""coconut milk"", ""red curry"", ""tomato paste"", ""salt"", ""ground black pepper""]"
Hawaiian Curry Stew,"[""beef stew meat"", ""potatoes"", ""onion"", ""carrots"", ""celery"", ""curry powder"", ""peanut oil"", ""water"", ""beef bouillon"", ""salt"", ""flour"", ""water"", ""steamed rice""]"
Chicken Curry,"[""flour"", ""salt"", ""black pepper"", ""chili flakes"", ""chicken breasts"", ""vegetable oil"", ""yellow peppers"", ""onions"", ""granny smith apple"", ""curry powder"", ""chicken stock"", ""tomato paste"", ""golden raisin"", ""cilantro"", ""rice""]"
Indian Lamb And Vegetable Curry,"[""cumin"", ""cardamom seeds"", ""fennel seed"", ""turmeric powder"", ""curry powder"", ""cayenne pepper"", ""vegetable oil"", ""onion"", ""garlic"", ""fresh ginger"", ""lamb"", ""salt"", ""tomatoes"", ""water"", ""russet potato"", ""carrots"", ""celery"", ""fresh peas"", ""unsweetened coconut milk"", ""fresh spinach leaves"", ""basmati rice""]"
Curry Beef Stew Served Over Steamed Rice,"[""flour"", ""salt"", ""pepper"", ""butter"", ""meat"", ""onion"", ""beef stock"", ""curry powder"", ""bay leaves"", ""potatoes"", ""carrot"", ""white vinegar"", ""soy sauce""]"
Lamb Shank Curry,"[""oil"", ""onions"", ""garlic"", ""ginger"", ""ground cardamom"", ""curry"", ""tomatoes"", ""coconut milk"", ""beef stock"", ""fresh coriander""]"
Black Eyed Pea And Brown Lentil Pineapple Curry,"[""olive oil"", ""onion"", ""black-eyed peas"", ""brown lentils"", ""butter"", ""water"", ""turmeric"", ""curry powder"", ""cumin"", ""cinnamon"", ""water"", ""pineapple""]"
Butternut-Cauliflower-Coconut Curry,"[""unsalted chickpeas"", ""olive oil"", ""frozen green pea"", ""yellow onion"", ""fresh garlic"", ""flour"", ""curry powder"", ""fresh cauliflower floret"", ""red potatoes"", ""fresh ground black pepper"", ""kosher salt"", ""light coconut milk"", ""lime""]"
Musaman Beef Curry,"[""peanut oil"", ""yellow onions"", ""coconut cream"", ""tamarind paste"", ""water"", ""brown sugar"", ""curry paste"", ""green onions"", ""garlic"", ""fresh lemongrass"", ""red Thai chile"", ""coriander seed"", ""cumin"", ""pods"", ""ground nutmeg"", ""ground cloves"", ""black peppercorns"", ""shrimp paste"", ""water""]"
Lamb Curry,"[""fennel seed"", ""cumin seeds"", ""ground cinnamon"", ""ground cloves"", ""curry powder"", ""salt"", ""sweet Hungarian paprika"", ""cayenne pepper"", ""onions"", ""vegetable oil"", ""lean stewing lamb"", ""jalapeno chiles"", ""ginger"", ""water"", ""nonfat yogurt""]"
Braised Chicken With Coconut Milk And Curry,"[""chickens"", ""kosher salt"", ""vegetable oil"", ""sofrito sauce"", ""curry powder"", ""ground cloves"", ""flour"", ""chicken broth"", ""coconut milk""]"
Kabocha Curry,"[""olive oil"", ""chicken breast"", ""onion"", ""fresh ginger"", ""garlic"", ""tomatoes"", ""vegetable stock"", ""coconut milk"", ""curry powder"", ""chili powder"", ""butternut squash"", ""fresh cilantro""]"
Crock Pot Vegetable Curry,"[""potatoes"", ""onion"", ""red bell pepper"", ""carrots"", ""tomatoes"", ""tomato paste"", ""water"", ""curry powder"", ""cumin seeds"", ""garlic powder"", ""salt"", ""cauliflower florets"", ""frozen peas""]"
Fish Suruwa - Fijian Fish Curry,"[""fish"", ""onion"", ""chilies"", ""tomatoes"", ""lemon juice"", ""turmeric"", ""cumin"", ""coconut milk"", ""oil"", ""salt"", ""pepper""]"
Cuban Grilled Lobster Tails With Garlic-Curry Butter,"[""unsalted butter"", ""garlic"", ""curry powder"", ""hot sauce"", ""salt"", ""vegetable oil"", ""Southern Comfort""]"
Potato Cauliflower Curry,"[""cauliflower"", ""vegetable oil"", ""onion"", ""green bell pepper"", ""garlic"", ""fresh ginger"", ""cumin"", ""tomatoes"", ""curry powder"", ""red potatoes"", ""vegetable broth"", ""fresh spinach"", ""salt"", ""cayenne"", ""peas""]"
Yellow Indian Curry,"[""canola oil"", ""onion"", ""carrots"", ""potatoes"", ""garlic"", ""mango"", ""chicken"", ""curry powder"", ""chicken"", ""cornstarch""]"
Penang Chicken Curry (Penang Gai),"[""chicken"", ""coconut milk"", ""garlic"", ""panang curry"", ""fish sauce"", ""sugar"", ""lime"", ""basil""]"
Thai Prawn Curry,"[""beans"", ""prawns"", ""button mushrooms"", ""red pepper"", ""fish sauce"", ""red curry"", ""chicken"", ""coconut milk"", ""basil"", ""lime"", ""olive oil"", ""basmati rice""]"
Crockpot Brazilian Chicken Curry (Paleo),"[""chicken breasts"", ""coconut milk"", ""chicken broth"", ""tomato paste"", ""garlic"", ""ground ginger"", ""curry"", ""bell peppers"", ""yellow onion"", ""salt"", ""red pepper""]"
Red Lentil And Cauliflower Curry,"[""coconut oil"", ""onions"", ""fresh ginger"", ""carrot"", ""curry powder"", ""turmeric"", ""ground cinnamon"", ""ground cumin"", ""ground coriander"", ""red lentils"", ""vegetable stock"", ""cauliflower"", ""fresh cilantro"", ""lime juice"", ""salt""]"
Best Chicken Curry (Gluten Free),"[""butter"", ""onions"", ""garlic"", ""bay leaves"", ""cinnamon"", ""cloves"", ""chicken"", ""tomatoes"", ""salt"", ""curry powder"", ""paprika"", ""yoghurt"", ""poppy seeds"", ""ginger"", ""heavy cream"", ""saffron"", ""lemon juice""]"
